port_name,country,latitude,longitude,port_size,water_body,shelter,max_vessel_size
Puerto Chichiriviche,Venezuela,10.916667,-68.266667,Very Small,Caribbean Sea; North Atlantic Ocean,Good,0.0
Puerto Cabello,Venezuela,10.483333,-68.0,Medium,Caribbean Sea; North Atlantic Ocean,Excellent,279.0
Salina,Caribbean Netherlands,12.083333,-68.283333,Very Small,Caribbean Sea; North Atlantic Ocean,Poor,0.0
Shanghai,China,31.216667,121.5,Large,East China Sea; North Pacific Ocean,Good,0.0
Rizhao,China,35.383333,119.566667,Very Small,Yellow Sea; North Pacific Ocean,Poor,0.0
Lanshan,China,35.08,119.366667,Very Small,Yellow Sea; North Pacific Ocean,Fair,0.0
Wenzhou,China,28.016667,120.65,Medium,East China Sea; North Pacific Ocean,Good,295.0
Qingdao Gang,China,36.033333,120.266667,Large,Yellow Sea; North Pacific Ocean,Excellent,0.0
Basseterre,Saint Kitts and Nevis,17.3,-62.716667,Very Small,Caribbean Sea; North Atlantic Ocean,Fair,274.0
Bahia De Fajardo,Puerto Rico,18.333333,-65.633333,Very Small,Caribbean Sea; North Atlantic Ocean,Fair,0.0
Charlestown,Saint Kitts and Nevis,17.133333,-62.633333,Very Small,Caribbean Sea; North Atlantic Ocean,Fair,0.0
Puerto Yabucoa,Puerto Rico,18.05,-65.833333,Very Small,Caribbean Sea; North Atlantic Ocean,Fair,0.0
Playa De Humacao,Puerto Rico,18.166667,-65.75,Very Small,Caribbean Sea; North Atlantic Ocean,Fair,0.0
Oranjestad,Caribbean Netherlands,17.483333,-62.983333,Small,Caribbean Sea; North Atlantic Ocean,Fair,415.0
Bahia San Nicolas,Peru,-15.25,-75.233333,Very Small,South Pacific Ocean,Good,0.0
Puerto Ilo,Peru,-17.633333,-71.366667,Very Small,South Pacific Ocean,Good,0.0
Punta Lobitos (Bahia De Huarmey),Peru,-10.1,-78.166667,Very Small,South Pacific Ocean,Fair,0.0
Puerto Supe,Peru,-10.8,-77.75,Very Small,South Pacific Ocean,,0.0
Port Beringovsky,Russia,63.063055556,179.3675, ,Anadyrskiy Zaliv; Bering Sea; North Pacific Ocean,Unknown,159.0
Mourilyan Harbour,Australia,-17.6,146.133333,Small,Coral Sea; South Pacific Ocean,Good,200.0
Kijang,Indonesia,0.85,104.6,Very Small,Natuna Sea; South China Sea; South Pacific Ocean,Good,0.0
Johor,Malaysia,1.433333,103.9,Large,Strait of Malacca; Indian Ocean,Fair,0.0
Bahia De Valparaiso,Chile,-33.033333,-71.616667,Medium,South Pacific Ocean,Fair,0.0
Lirquen,Chile,-36.716667,-72.983333,Very Small,South Pacific Ocean,Good,0.0
Bahia San Vicente,Chile,-36.733333,-73.166667,Very Small,South Pacific Ocean,Fair,0.0
Bahia De Valdivia,Chile,-39.8,-73.25,Small,South Pacific Ocean,Excellent,0.0
Itaqui,Brazil,-2.566667,-44.366667,Small,South Atlantic Ocean,Good,365.0
Manaus,Brazil,-3.133333,-60.016667,Small,South Atlantic Ocean,Excellent,225.0
Itacoatiara,Brazil,-3.15,-58.45,Very Small,South Atlantic Ocean,Excellent,0.0
Chaguaramas,Trinidad and Tobago,10.683333,-61.65,Very Small,Caribbean Sea; North Atlantic Ocean,Good,190.0
Brighton,Trinidad and Tobago,10.25,-61.633333,Very Small,Caribbean Sea; North Atlantic Ocean,Poor,333.0
Jurong Island,Singapore,1.283333,103.733333,Large,Strait of Malacca; Indian Ocean,Good,0.0
Dabo,Indonesia,-0.5,104.566667,Very Small,Natuna Sea; South China Sea; South Pacific Ocean,Poor,0.0
Coronel,Chile,-37.033333,-73.166667,Small,South Pacific Ocean,Excellent,0.0
Bahia Quintero (Ventanas),Chile,-32.766667,-71.533333,Very Small,South Pacific Ocean,Fair,0.0
Lota,Chile,-37.1,-73.15,Very Small,South Pacific Ocean,Poor,160.0
Bahia Herradura Guayacan,Chile,-29.966667,-71.366667,Very Small,South Pacific Ocean,Good,0.0
Huasco,Chile,-28.466667,-71.25,Very Small,South Pacific Ocean,Fair,0.0
Altamira,Mexico,22.483333,-97.85,Very Small,Gulf of Mexico; North Atlantic Ocean,Poor,339.6
Anse Tembladora,Trinidad and Tobago,10.683333,-61.583333,Very Small,Caribbean Sea; North Atlantic Ocean,Fair,209.0
Porto Santana,Brazil,-0.05,-51.183333,Very Small,South Atlantic Ocean,Good,210.0
Scarborough,Trinidad and Tobago,11.183333,-60.733333,Very Small,North Atlantic Ocean,Fair,157.6
Tuxpan,Mexico,20.95,-97.4,Medium,Gulf of Mexico; North Atlantic Ocean,Excellent,294.1
