date,BZ=F,CL=F,NG=F,HO=F,GC=F,SI=F,HG=F,SLX,ZS=F,ZC=F,SB=F,KC=F,ZW=F,ZIM,MATX,DAC,SBLK,BDRY,DX-Y.NYB,EURUSD=X,BRL=X,CNY=X,JPY=X,^VIX,^GSPC,^TNX
2021-11-23,82.30999755859375,78.5,4.9670000076293945,2.384299993515014,1783.5,23.434999465942383,4.423500061035156,56.06999969482422,1273.0,580.5,20.11000061035156,242.5500030517578,856.0,55.0,89.16000366210938,71.47000122070312,19.040000915527344,23.38999938964844,96.48999786376952,1.12421452999115,5.585599899291992,6.384300231933594,114.79000091552734,19.3799991607666,4690.7001953125,1.6670000553131104
2021-11-24,82.25,78.38999938964844,5.067999839782715,2.382999897003174,1784.0999755859375,23.496000289916992,4.458000183105469,55.4900016784668,1266.5,579.75,19.93000030517578,246.3000030517578,836.75,54.59999847412109,87.5,72.0999984741211,20.989999771118164,25.200000762939453,96.83999633789062,1.124492645263672,5.570400238037109,6.3907999992370605,115.14099884033205,18.57999992370605,4701.4599609375,1.6449999809265137
2021-11-25,82.25,78.38999938964844,5.067999839782715,2.382999897003174,1784.0999755859375,23.496000289916992,4.458000183105469,55.4900016784668,1266.5,579.75,19.93000030517578,246.3000030517578,836.75,54.59999847412109,87.5,72.0999984741211,20.989999771118164,25.200000762939453,96.83999633789062,1.1202975511550903,5.605199813842773,6.3917999267578125,115.40799713134766,18.57999992370605,4701.4599609375,1.6449999809265137
2021-11-26,72.72000122070312,68.1500015258789,5.447000026702881,2.094500064849853,1785.300048828125,23.10700035095215,4.281499862670898,53.790000915527344,1252.75,586.75,19.350000381469727,243.8500061035156,825.5,53.18000030517578,83.75,71.79000091552734,20.950000762939453,24.729999542236328,96.08999633789062,1.1209630966186523,5.565100193023682,6.386000156402588,115.06900024414062,28.6200008392334,4594.6201171875,1.4819999933242798
2021-11-27,72.72000122070312,68.1500015258789,5.447000026702881,2.094500064849853,1785.300048828125,23.10700035095215,4.281499862670898,53.790000915527344,1252.75,586.75,19.350000381469727,243.8500061035156,825.5,53.18000030517578,83.75,71.79000091552734,20.950000762939453,24.729999542236328,96.08999633789062,1.1209630966186523,5.565100193023682,6.386000156402588,115.06900024414062,28.6200008392334,4594.6201171875,1.4819999933242798
2021-11-28,72.72000122070312,68.1500015258789,5.447000026702881,2.094500064849853,1785.300048828125,23.10700035095215,4.281499862670898,53.790000915527344,1252.75,586.75,19.350000381469727,243.8500061035156,825.5,53.18000030517578,83.75,71.79000091552734,20.950000762939453,24.729999542236328,96.08999633789062,1.1209630966186523,5.565100193023682,6.386000156402588,115.06900024414062,28.6200008392334,4594.6201171875,1.4819999933242798
2021-11-29,73.44000244140625,69.94999694824219,4.854000091552734,2.152100086212158,1782.300048828125,22.798999786376957,4.336999893188477,53.130001068115234,1241.5,581.0,19.190000534057617,233.8500061035156,807.5,57.630001068115234,83.51000213623047,71.44000244140625,21.82999992370605,26.959999084472656,96.33999633789062,1.1293182373046875,5.607800006866455,6.392000198364258,113.71900177001952,22.959999084472656,4655.27001953125,1.5299999713897705
2021-11-30,70.56999969482422,66.18000030517578,4.566999912261963,2.063800096511841,1773.5999755859375,22.76499938964844,4.277999877929688,51.95000076293945,1217.25,567.0,18.600000381469727,233.25,773.75,55.27999877929688,81.52999877929688,68.69000244140625,21.01000022888184,26.649999618530277,95.98999786376952,1.1293437480926514,5.6006999015808105,6.38700008392334,113.8040008544922,27.190000534057617,4567.0,1.4429999589920044
2021-12-01,68.87000274658203,65.56999969482422,4.257999897003174,2.0771000385284424,1781.5999755859375,22.298999786376957,4.247499942779541,51.709999084472656,1228.25,572.0,18.600000381469727,234.1999969482422,778.5,53.43000030517578,78.7699966430664,65.69000244140625,19.790000915527344,27.790000915527344,96.0500030517578,1.1330289840698242,5.620871067047119,6.3632001876831055,113.29900360107422,31.1200008392334,4513.0400390625,1.434000015258789
2021-12-02,69.66999816894531,66.5,4.056000232696533,2.103399991989136,1760.699951171875,22.280000686645508,4.298999786376953,53.65999984741211,1244.25,577.0,18.6200008392334,237.4499969482422,806.5,54.83000183105469,82.01000213623047,68.86000061035156,21.229999542236328,28.71999931335449,96.12999725341795,1.1319515705108645,5.6915669441223145,6.367300033569336,112.88200378417967,27.950000762939453,4577.10009765625,1.4479999542236328
2021-12-03,69.87999725341797,66.26000213623047,4.131999969482422,2.098400115966797,1782.0,22.44499969482422,4.266499996185303,53.02000045776367,1267.25,586.0,18.75,244.0500030517578,794.5,54.34999847412109,81.20999908447266,68.58999633789062,21.65999984741211,29.59000015258789,96.12000274658205,1.1306205987930298,5.643321990966797,6.37559986114502,113.02200317382812,30.670000076293945,4538.43017578125,1.343000054359436
2021-12-04,69.87999725341797,66.26000213623047,4.131999969482422,2.098400115966797,1782.0,22.44499969482422,4.266499996185303,53.02000045776367,1267.25,586.0,18.75,244.0500030517578,794.5,54.34999847412109,81.20999908447266,68.58999633789062,21.65999984741211,29.59000015258789,96.12000274658205,1.1306205987930298,5.643321990966797,6.37559986114502,113.02200317382812,30.670000076293945,4538.43017578125,1.343000054359436
2021-12-05,69.87999725341797,66.26000213623047,4.131999969482422,2.098400115966797,1782.0,22.44499969482422,4.266499996185303,53.02000045776367,1267.25,586.0,18.75,244.0500030517578,794.5,54.34999847412109,81.20999908447266,68.58999633789062,21.65999984741211,29.59000015258789,96.12000274658205,1.1306205987930298,5.643321990966797,6.37559986114502,113.02200317382812,30.670000076293945,4538.43017578125,1.343000054359436
2021-12-06,73.08000183105469,69.48999786376953,3.6570000648498535,2.1712000370025635,1777.5,22.22800064086914,4.336999893188477,54.09000015258789,1261.5,583.5,19.15999984741211,250.1999969482422,797.0,55.68000030517578,85.52999877929688,69.05999755859375,22.690000534057617,29.600000381469727,96.29000091552734,1.13047993183136,5.65009880065918,6.37529993057251,113.04199981689452,27.18000030517578,4591.669921875,1.434000015258789
2021-12-07,75.44000244140625,72.05000305175781,3.7079999446868896,2.224600076675415,1782.5999755859375,22.48699951171875,4.3379998207092285,55.58000183105469,1250.25,586.25,19.479999542236328,243.8999938964844,799.25,57.95000076293945,85.44999694824219,70.2300033569336,23.56999969482422,30.440000534057617,96.37000274658205,1.128668189048767,5.688000202178955,6.374800205230713,113.45800018310548,21.88999938964844,4686.75,1.4800000190734863
2021-12-08,75.81999969482422,72.36000061035156,3.815000057220459,2.2613000869750977,1783.4000244140625,22.38999938964844,4.390999794006348,55.68000030517578,1261.0,584.75,19.81999969482422,244.75,791.25,56.18000030517578,84.45999908447266,72.33000183105469,23.459999084472656,28.459999084472656,95.88999938964844,1.127650022506714,5.611800193786621,6.366300106048584,113.5250015258789,19.899999618530277,4701.2099609375,1.508999943733215
2021-12-09,74.41999816894531,70.94000244140625,3.813999891281128,2.2502999305725098,1774.5999755859375,21.974000930786133,4.329999923706055,55.27999877929688,1264.5,588.5,19.690000534057617,240.3500061035156,773.5,54.150001525878906,83.62999725341797,72.33999633789062,21.399999618530277,27.170000076293945,96.2699966430664,1.1345586776733398,5.531599998474121,6.343699932098389,113.68399810791016,21.57999992370605,4667.4501953125,1.4869999885559082
2021-12-10,75.1500015258789,71.66999816894531,3.924999952316284,2.2516000270843506,1782.9000244140625,22.15999984741211,4.2829999923706055,55.18999862670898,1267.75,588.5,19.709999084472656,232.6999969482422,782.0,51.70000076293945,83.83999633789062,71.83999633789062,21.09000015258789,28.13999938964844,96.0500030517578,1.1293309926986694,5.571100234985352,6.376500129699707,113.447998046875,18.690000534057617,4712.02001953125,1.4889999628067017
2021-12-11,75.1500015258789,71.66999816894531,3.924999952316284,2.2516000270843506,1782.9000244140625,22.15999984741211,4.2829999923706055,55.18999862670898,1267.75,588.5,19.709999084472656,232.6999969482422,782.0,51.70000076293945,83.83999633789062,71.83999633789062,21.09000015258789,28.13999938964844,96.0500030517578,1.1293309926986694,5.571100234985352,6.376500129699707,113.447998046875,18.690000534057617,4712.02001953125,1.4889999628067017
2021-12-12,75.1500015258789,71.66999816894531,3.924999952316284,2.2516000270843506,1782.9000244140625,22.15999984741211,4.2829999923706055,55.18999862670898,1267.75,588.5,19.709999084472656,232.6999969482422,782.0,51.70000076293945,83.83999633789062,71.83999633789062,21.09000015258789,28.13999938964844,96.0500030517578,1.1293309926986694,5.571100234985352,6.376500129699707,113.447998046875,18.690000534057617,4712.02001953125,1.4889999628067017
2021-12-13,74.38999938964844,71.29000091552734,3.7939999103546143,2.232800006866455,1786.300048828125,22.290000915527344,4.28000020980835,55.209999084472656,1244.0,584.25,19.63999938964844,236.6999969482422,785.5,49.470001220703125,82.12000274658203,68.69999694824219,19.57999992370605,27.82999992370605,96.31999969482422,1.131183385848999,5.60866117477417,6.360000133514404,113.5009994506836,20.309999465942383,4668.97021484375,1.4240000247955322
2021-12-14,73.69999694824219,70.7300033569336,3.746999979019165,2.218400001525879,1770.4000244140625,21.886999130249023,4.254000186920166,55.790000915527344,1259.5,588.75,19.649999618530277,237.1499938964844,785.5,48.20000076293945,82.43000030517578,67.12000274658203,18.670000076293945,23.61000061035156,96.56999969482422,1.1285407543182373,5.679699897766113,6.365499973297119,113.5770034790039,21.88999938964844,4634.08984375,1.437999963760376
2021-12-15,73.87999725341797,70.87000274658203,3.802000045776367,2.220400094985962,1762.5999755859375,21.507999420166016,4.179500102996826,54.9900016784668,1262.5,585.75,19.290000915527344,237.3999938964844,756.0,49.400001525878906,82.55999755859375,70.19000244140625,19.3700008392334,24.790000915527344,96.51000213623048,1.1261261701583862,5.680600166320801,6.366499900817871,113.74299621582033,19.290000915527344,4709.85009765625,1.4630000591278076
2021-12-16,75.0199966430664,72.37999725341797,3.766000032424927,2.2662999629974365,1796.5999755859375,22.45499992370605,4.30049991607666,56.52999877929688,1277.25,591.25,19.399999618530277,236.9499969482422,770.5,49.7599983215332,82.45999908447266,69.51000213623047,19.309999465942383,24.280000686645508,96.04000091552734,1.1290758848190308,5.679399967193604,6.366499900817871,114.13600158691406,20.56999969482422,4668.669921875,1.4220000505447388
2021-12-17,73.5199966430664,70.86000061035156,3.690000057220459,2.219899892807007,1803.800048828125,22.506999969482425,4.290999889373779,56.45000076293945,1285.25,593.25,19.11000061035156,235.8999938964844,775.0,50.959999084472656,81.44999694824219,70.06999969482422,19.86000061035156,23.950000762939453,96.56999969482422,1.1334141492843628,5.687399864196777,6.367199897766113,113.66300201416016,21.56999969482422,4620.64013671875,1.4019999504089355
2021-12-18,73.5199966430664,70.86000061035156,3.690000057220459,2.219899892807007,1803.800048828125,22.506999969482425,4.290999889373779,56.45000076293945,1285.25,593.25,19.11000061035156,235.8999938964844,775.0,50.959999084472656,81.44999694824219,70.06999969482422,19.86000061035156,23.950000762939453,96.56999969482422,1.1334141492843628,5.687399864196777,6.367199897766113,113.66300201416016,21.56999969482422,4620.64013671875,1.4019999504089355
2021-12-19,73.5199966430664,70.86000061035156,3.690000057220459,2.219899892807007,1803.800048828125,22.506999969482425,4.290999889373779,56.45000076293945,1285.25,593.25,19.11000061035156,235.8999938964844,775.0,50.959999084472656,81.44999694824219,70.06999969482422,19.86000061035156,23.950000762939453,96.56999969482422,1.1334141492843628,5.687399864196777,6.367199897766113,113.66300201416016,21.56999969482422,4620.64013671875,1.4019999504089355
2021-12-20,71.5199966430664,68.2300033569336,3.8340001106262207,2.1730000972747803,1793.699951171875,22.274999618530277,4.288000106811523,50.90999984741211,1292.25,591.0,18.59000015258789,224.3999938964844,777.75,50.66999816894531,78.98999786376953,69.72000122070312,20.239999771118164,25.71999931335449,96.5500030517578,1.124353528022766,5.693059921264648,6.374000072479248,113.51799774169922,22.8700008392334,4568.02001953125,1.4190000295639038
2021-12-21,73.9800033569336,71.12000274658203,3.86899995803833,2.2578001022338867,1787.9000244140625,22.50200080871582,4.3379998207092285,52.04999923706055,1308.0,598.25,18.739999771118164,228.25,799.0,52.119998931884766,80.97000122070312,70.58999633789062,20.309999465942383,25.040000915527344,96.48999786376952,1.127751708030701,5.741300106048584,6.374599933624268,113.66200256347656,21.01000022888184,4649.22998046875,1.4869999885559082
2021-12-22,75.29000091552734,72.76000213623047,3.9760000705718994,2.307800054550171,1801.5999755859373,22.79199981689453,4.389500141143799,52.5,1328.75,602.5,19.26000022888184,233.5500030517578,814.0,52.220001220703125,82.38999938964844,70.0,20.799999237060547,26.270000457763672,96.08000183105467,1.128757357597351,5.74399995803833,6.37060022354126,113.99400329589844,18.6299991607666,4696.56005859375,1.4570000171661377
2021-12-23,76.8499984741211,73.79000091552734,3.7309999465942383,2.331399917602539,1811.199951171875,22.93099975585937,4.38700008392334,52.52000045776367,1332.0,605.75,19.239999771118164,231.1999969482422,814.75,53.65999984741211,83.6500015258789,70.06999969482422,21.049999237060547,26.770000457763672,96.0199966430664,1.1328877210617063,5.652999877929688,6.369100093841553,114.12100219726562,17.959999084472656,4725.7900390625,1.493000030517578
